date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
09/19/2024,0.95,1.12,0.96,0.77,0.32,1.37
09/20/2024,0.85,1.28,0.86,0.52,0.86,1.38
09/23/2024,0.83,1.15,0.90,0.49,0.58,1.43
09/24/2024,0.90,1.31,0.86,0.54,0.98,1.39
09/25/2024,0.76,0.92,0.86,0.52,0.22,1.37
09/26/2024,0.79,1.16,0.71,0.50,1.05,1.18
09/27/2024,0.76,0.92,0.89,0.53,0.24,1.43
09/30/2024,0.92,1.20,0.98,0.55,0.45,1.35
10/01/2024,0.88,1.03,1.00,0.55,0.42,1.40
10/02/2024,1.02,1.41,1.07,0.56,0.89,1.55
10/03/2024,0.88,0.93,1.02,0.71,0.26,1.52
10/04/2024,1.02,1.27,1.55,0.48,0.34,1.50
10/07/2024,0.79,0.87,0.96,0.55,0.26,1.39
10/08/2024,0.92,1.20,1.08,0.54,0.54,1.44
10/09/2024,0.97,1.08,1.36,0.59,0.50,1.30
10/10/2024,0.87,1.13,0.97,0.49,0.74,1.32
10/11/2024,0.88,1.15,1.37,0.44,0.36,1.46
10/14/2024,0.82,1.11,0.89,0.50,0.49,1.31
10/15/2024,0.88,1.11,0.96,0.57,0.35,1.44
10/16/2024,0.89,1.11,0.93,0.57,0.62,1.42
10/17/2024,0.92,1.20,0.74,0.77,0.73,1.34
10/18/2024,0.81,1.37,0.93,0.42,1.03,1.43
10/21/2024,0.90,1.21,1.06,0.49,0.43,1.43
10/22/2024,0.98,1.26,1.07,0.59,1.09,1.28
10/23/2024,0.92,1.27,0.74,0.58,0.97,1.30
10/24/2024,0.86,1.12,0.95,0.55,0.69,1.24
10/25/2024,0.90,1.28,1.00,0.51,0.67,1.38
10/28/2024,1.00,1.41,1.15,0.58,1.20,1.46
10/29/2024,0.90,1.15,1.01,0.62,0.81,1.22
10/30/2024,0.92,1.30,0.92,0.63,1.17,1.33
10/31/2024,0.99,1.35,0.95,0.63,1.28,1.39
11/01/2024,1.12,1.70,1.11,0.71,2.32,1.59
11/04/2024,1.33,1.91,1.30,0.61,3.04,1.57
11/05/2024,0.99,1.13,1.30,0.62,0.92,1.23
11/06/2024,0.88,1.13,0.94,0.54,0.69,1.38
11/07/2024,0.82,1.21,0.96,0.47,0.98,1.29
11/08/2024,0.81,1.22,0.79,0.55,0.66,1.38
11/11/2024,0.74,1.00,0.89,0.48,0.41,1.31
11/12/2024,0.79,1.09,0.76,0.50,0.69,1.22
11/13/2024,0.84,1.08,1.05,0.54,0.61,1.26
11/14/2024,0.85,1.13,0.82,0.63,0.61,1.29
11/15/2024,0.90,1.19,0.92,0.60,0.88,1.34
11/18/2024,0.82,1.07,0.97,0.51,0.57,1.25
11/19/2024,0.87,1.03,0.90,0.62,0.44,1.35
11/20/2024,0.80,0.95,0.93,0.58,0.43,1.17
11/21/2024,0.80,1.11,0.88,0.53,0.47,1.21
11/22/2024,0.85,1.29,0.94,0.51,0.85,1.37
11/25/2024,0.77,1.17,0.78,0.48,0.75,1.27
11/26/2024,0.81,1.14,0.98,0.48,0.46,1.28
11/27/2024,0.86,1.13,0.98,0.56,0.27,1.28
11/29/2024,0.86,1.17,0.94,0.56,0.66,1.27
12/02/2024,0.87,1.16,0.92,0.62,0.32,1.48
12/03/2024,0.83,0.98,1.04,0.55,0.30,1.33
12/04/2024,0.80,1.05,1.04,0.49,0.31,1.40
12/05/2024,0.80,1.07,1.04,0.50,0.33,1.20
12/06/2024,0.84,1.27,0.90,0.54,0.53,1.58
12/09/2024,0.79,0.99,0.99,0.56,0.24,1.37
12/10/2024,0.84,1.22,0.93,0.48,0.29,1.52
12/11/2024,0.79,1.01,0.99,0.53,0.45,1.24
12/12/2024,0.87,0.93,1.14,0.68,0.28,1.32
12/13/2024,0.84,1.04,0.98,0.58,0.29,1.38
12/16/2024,0.85,1.20,0.96,0.51,0.66,1.36
12/17/2024,0.81,1.07,0.99,0.49,0.66,1.28
12/18/2024,0.85,1.10,1.10,0.45,0.46,1.42
12/19/2024,0.98,1.35,0.93,0.62,0.73,1.66
12/20/2024,0.93,1.30,1.03,0.54,1.21,1.31
12/23/2024,0.89,1.09,1.49,0.48,0.48,1.19
12/24/2024,0.96,1.06,1.51,0.51,1.06,1.06
12/26/2024,0.78,1.06,0.80,0.49,0.65,1.12
12/27/2024,0.89,1.19,0.79,0.67,0.66,1.26
12/30/2024,0.92,1.13,1.05,0.63,0.56,1.20
12/31/2024,0.81,1.06,0.86,0.46,0.42,1.18
01/02/2025,1.04,1.21,1.12,0.80,0.70,1.29
01/03/2025,0.81,1.04,1.47,0.45,0.32,1.24
01/06/2025,0.80,1.12,1.18,0.42,0.66,1.21
01/07/2025,0.78,0.93,1.10,0.45,0.26,1.36
01/08/2025,0.95,1.17,1.23,0.60,0.56,1.37
01/09/2025,1.73,1.73,0.00,0.00,0.09,1.95
01/10/2025,0.97,1.21,1.10,0.70,0.50,1.46
01/13/2025,0.95,1.18,1.11,0.60,0.78,1.33
01/14/2025,0.77,1.12,0.79,0.41,0.94,1.16
01/15/2025,0.86,1.07,1.03,0.58,0.72,1.22
01/16/2025,0.85,0.88,0.69,0.94,0.27,1.25
01/17/2025,0.69,0.91,0.86,0.43,0.32,1.28
01/21/2025,0.72,0.94,0.81,0.46,0.46,1.29
01/22/2025,0.76,0.92,0.85,0.49,0.19,1.42
01/23/2025,0.78,0.97,0.92,0.53,0.32,1.15
01/24/2025,0.76,1.00,0.82,0.52,0.27,1.22
01/27/2025,0.89,1.13,1.10,0.57,0.57,1.37
01/28/2025,0.75,0.98,0.74,0.53,0.43,1.11
01/29/2025,0.72,0.76,0.92,0.59,0.19,1.10
01/30/2025,0.69,0.77,0.87,0.52,0.18,1.20
01/31/2025,0.85,1.21,0.97,0.49,0.78,1.28
02/03/2025,0.93,1.14,1.12,0.54,0.77,1.25
02/04/2025,0.84,1.11,0.98,0.51,0.43,1.28
02/05/2025,0.79,1.02,0.86,0.54,0.53,1.17
02/06/2025,0.80,0.99,0.94,0.57,0.43,1.15
02/07/2025,0.79,1.05,0.86,0.52,0.34,1.25
02/10/2025,0.77,1.03,0.99,0.47,0.25,1.34
02/11/2025,0.83,1.12,0.95,0.53,0.35,1.36
02/12/2025,0.85,1.09,0.95,0.56,0.45,1.27
02/13/2025,0.95,1.06,1.13,0.77,0.40,1.24
02/14/2025,0.70,1.04,0.66,0.46,0.26,1.47
02/18/2025,0.76,0.88,1.18,0.50,0.31,1.35
02/19/2025,0.89,1.16,0.98,0.60,0.29,1.47
02/20/2025,0.75,1.00,0.63,0.59,0.43,1.19
02/21/2025,0.87,1.11,0.93,0.63,0.42,1.41
